Sample,Family_ID,Population,Population_Description,Gender,Relationship,Unexpected_Parent_Child,Non_Paternity,Siblings,Grandparents,Avuncular,Half_Siblings,Unknown_Second_Order,Third_Order,In_Low_Coverage_Pilot,LC_Pilot_Platforms,LC_Pilot_Centers,In_High_Coverage_Pilot,HC_Pilot_Platforms,HC_Pilot_Centers,In_Exon_Targetted_Pilot,ET_Pilot_Platforms,ET_Pilot_Centers,Has_Sequence_in_Phase1,Phase1_LC_Platform,Phase1_LC_Centers,Phase1_E_Platform,Phase1_E_Centers,In_Phase1_Integrated_Variant_Set,Has_Phase1_chrY_SNPS,Has_phase1_chrY_Deletions,Has_phase1_chrMT_SNPs,Main_project_LC_Centers,Main_project_LC_platform,Total_LC_Sequence,LC_Non_Duplicated_Aligned_Coverage,Main_Project_E_Centers,Main_Project_E_Platform,Total_Exome_Sequence,X_Targets_Covered_to_20x_or_greater,VerifyBam_E_Omni_Free,VerifyBam_E_Affy_Free,VerifyBam_E_Omni_Chip,VerifyBam_E_Affy_Chip,VerifyBam_LC_Omni_Free,VerifyBam_LC_Affy_Free,VerifyBam_LC_Omni_Chip,VerifyBam_LC_Affy_Chip,LC_Indel_Ratio,E_Indel_Ratio,LC_Passed_QC,E_Passed_QC,In_Final_Phase_Variant_Calling,Has_Omni_Genotypes,Has_Axiom_Genotypes,Has_Affy_6_0_Genotypes,Has_Exome_LOF_Genotypes,EBV_Coverage,DNA_Source_from_Coriell,Has_Sequence_from_Blood_in_Index,Super_Population,Super_Population_Description
HG00112,HG00112,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,13987141128.0,4.27,BCM,ILLUMINA,6317081562.0,0.900717,0.01195,0.008490000000000001,0.01196,,0.00036,,5.9999999999999995e-05,,0.83,1.0,1.0,1.0,1.0,1.0,,,1.0,34.94,,,EUR,European
HG00113,HG00113,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BGI,ILLUMINA,BGI,1.0,1.0,,1.0,BGI,ILLUMINA,29860533200.0,9.86,BGI,ILLUMINA,9194868630.0,0.768914,0.0011,0.00053,0.00103,,0.0045899999999999995,0.00175,0.00451,,0.83,0.8,1.0,1.0,1.0,1.0,,,1.0,165.26,,,EUR,European
HG00114,HG00114,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ILLUMINA,WUGSC,1.0,1.0,1.0,1.0,SC,ILLUMINA,12726574956.0,3.97,WUGSC,ILLUMINA,10374134700.0,0.8654959999999999,1e-05,,2e-05,,0.0006,,0.0011,,0.97,0.81,1.0,1.0,1.0,1.0,,,1.0,10.78,,,EUR,European
HG00115,HG00115,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,,,ABI_SOLID,BCM,,,,,SC,ILLUMINA,27396697620.0,8.26,BCM,ILLUMINA,6393851763.0,0.917624,0.007640000000000001,0.00589,0.00762,,0.0027300000000000002,1e-05,0.0026,,0.85,1.09,1.0,1.0,1.0,1.0,,,1.0,109.32,,,EUR,European
HG00116,HG00116,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,1.0,1.0,1.0,BI,ILLUMINA,20586601658.0,4.9,BI,ILLUMINA,17987425780.0,0.8873129999999999,,9e-05,0.00031,,0.007379999999999999,2e-05,0.00718,,0.78,0.83,1.0,1.0,1.0,1.0,,,1.0,339.27,,,EUR,European
HG00117,HG00117,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,1.0,1.0,1.0,BI,ILLUMINA,19370183764.0,6.06,BI,ILLUMINA,15011046444.0,0.853524,0.00029,0.00026000000000000003,0.00021,,0.00364,,0.00504,,0.81,0.82,1.0,1.0,1.0,1.0,,,1.0,113.65,,,EUR,European
HG00118,HG00118,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,,,1.0,SC,ILLUMINA,38053605860.0,12.9,BCM,ILLUMINA,7251975336.0,0.9251659999999999,0.00605,0.0037600000000000003,0.006220000000000001,,0.0006,0.00013000000000000002,0.0005200000000000001,,0.91,0.98,1.0,1.0,1.0,1.0,,,1.0,72.41,,,EUR,European
HG00119,HG00119,GBR,British in England and Scotland,male,,,,,,,,HG00124,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,1.0,1.0,1.0,BI,ILLUMINA,18597286260.0,5.33,BI,ILLUMINA,17936897180.0,0.857317,0.0005,0.00027,0.00055,,0.00619,,0.00662,,0.89,0.79,1.0,1.0,1.0,1.0,,,1.0,54.99,,,EUR,European
HG00120,HG00120,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,,,1.0,BI,ILLUMINA,16660888644.0,5.16,BI,ILLUMINA,13463632788.0,0.848182,0.00025,0.00011,0.00026000000000000003,,0.01266,2e-05,0.01316,,0.8,0.91,1.0,1.0,1.0,1.0,,,1.0,42.98,,,EUR,European
HG00121,HG00121,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,20916076400.0,6.97,BGI,ILLUMINA,9415942290.0,0.771108,0.0009400000000000001,0.00031,0.0009699999999999999,,0.0036,9e-05,0.00387,,0.82,0.8,1.0,1.0,1.0,1.0,,,1.0,81.87,,,EUR,European
HG00122,HG00122,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,,,1.0,SC,ILLUMINA,22759281260.0,7.49,BCM,ILLUMINA,6569234122.0,0.897892,0.022369999999999998,0.017159999999999998,0.02285,,0.00107,2.9999999999999997e-05,0.00101,,0.85,1.16,1.0,1.0,1.0,1.0,,,1.0,54.77,,,EUR,European
HG00123,HG00123,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,,,1.0,BI,ILLUMINA,34230906530.0,7.42,BI,ILLUMINA,15032132112.0,0.882841,,,0.00032,,0.00318,5e-05,0.00294,,1.43,0.9,1.0,1.0,1.0,1.0,,,1.0,36.89,,,EUR,European
HG00124,HG00124,GBR,British in England and Scotland,female,,,,,,,,HG00119,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,,,1.0,BI,ILLUMINA,40722363962.0,12.69,BI,ILLUMINA,16813004316.0,0.879415,,,1e-05,,0.00253,0.0012699999999999999,0.0027600000000000003,,0.96,0.87,1.0,1.0,1.0,1.0,,,1.0,57.29,,,EUR,European
HG00125,HG00125,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,11624550586.0,3.35,BGI,ILLUMINA,9189239760.0,0.7661100000000001,0.00324,0.00227,0.00321,,0.0018800000000000002,1e-05,0.00232,,0.9,0.78,1.0,1.0,1.0,1.0,,,1.0,13.21,,,EUR,European
HG00126,HG00126,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,23895450120.0,7.95,BCM,ILLUMINA,6688140816.0,0.92395,0.00859,0.00657,0.00863,,0.01029,0.00246,0.01086,,0.93,1.01,1.0,1.0,1.0,1.0,,,1.0,36.75,,,EUR,European
HG00127,HG00127,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,WUGSC,ILLUMINA,WUGSC,1.0,,,1.0,WUGSC,ILLUMINA,15526757600.0,5.14,WUGSC,ILLUMINA,5080967400.0,0.758446,0.00183,0.00123,0.00179,,0.0012900000000000001,,0.0017699999999999999,,0.83,0.76,1.0,1.0,1.0,1.0,,,1.0,11.75,,,EUR,European
HG00128,HG00128,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,,,1.0,BCM,ILLUMINA,21830960322.0,7.37,BCM,ILLUMINA,9214345342.0,0.9326909999999999,0.00941,0.007509999999999999,0.009340000000000001,,0.00137,1e-05,0.0015400000000000001,,0.91,1.2,1.0,1.0,1.0,1.0,,,1.0,44.28,,,EUR,European
HG00129,HG00129,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,1.0,,1.0,BCM,ILLUMINA,22729369260.0,7.81,BCM,ILLUMINA,6747555278.0,0.904382,0.01017,0.00705,0.01015,,0.00206,0.00021,0.00215,,0.88,0.95,1.0,1.0,1.0,1.0,,,1.0,106.65,,,EUR,European
HG00130,HG00130,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,,,1.0,BCM,ILLUMINA,16653396009.0,5.78,BCM,ILLUMINA,7226887542.0,0.931858,0.0084,0.00621,0.00827,,0.0014199999999999998,2e-05,0.00139,,0.82,1.11,1.0,1.0,1.0,1.0,,,1.0,75.78,,,EUR,European
HG00131,HG00131,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,1.0,1.0,1.0,BI,ILLUMINA,19390742904.0,5.14,BI,ILLUMINA,17533756831.0,0.8967290000000001,,,0.00013000000000000002,,0.007379999999999999,,0.00787,,0.87,0.89,1.0,1.0,1.0,1.0,,,1.0,12.98,,,EUR,European
HG00132,HG00132,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,,,ABI_SOLID,BCM,,,,,MPIMG,ILLUMINA,23747637322.0,8.13,BCM,ILLUMINA,6624091565.0,0.921794,0.009890000000000001,0.007909999999999999,0.00958,,0.0008300000000000001,,0.00123,,0.87,1.08,1.0,1.0,1.0,1.0,,,1.0,85.19,,,EUR,European
HG00133,HG00133,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,ILLUMINA,BI,1.0,,,1.0,BI,ILLUMINA,35978879350.0,9.32,BI,ILLUMINA,16299918056.0,0.886667,,,1e-05,,0.0037,0.0008699999999999999,0.00365,,1.33,0.85,1.0,1.0,1.0,1.0,,,1.0,171.71,,,EUR,European
HG00134,HG00134,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,MPIMG,ABI_SOLID,BCM,1.0,,,1.0,MPIMG,ILLUMINA,22835017583.0,,BCM,ILLUMINA,6042386307.0,,0.01369,0.01065,0.013859999999999999,,0.00193,1e-05,0.0018399999999999998,,0.86,6.03,,,,1.0,,,1.0,,,,EUR,European
HG00135,HG00135,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,MPIMG,ABI_SOLID,BCM,1.0,,,1.0,MPIMG,ILLUMINA,19072714558.0,,BCM,ILLUMINA,6028880486.0,,0.014980000000000002,0.01198,0.01516,,0.00237,,0.00238,,0.86,6.34,,,,1.0,,,1.0,,,,EUR,European
HG00136,HG00136,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,1.0,1.0,1.0,BGI,ILLUMINA,11456720461.0,3.33,BGI,ILLUMINA,11727807750.0,0.779373,0.00374,0.00256,0.0037700000000000003,,0.00173,,0.00238,,0.87,0.81,1.0,1.0,1.0,1.0,,,1.0,27.67,,,EUR,European
HG00137,HG00137,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,11262801364.0,3.24,BGI,ILLUMINA,8019835470.0,0.753933,0.00266,0.0019399999999999999,0.00266,,0.00103,1e-05,0.00144,,0.88,0.8,1.0,1.0,1.0,1.0,,,1.0,9.04,,,EUR,European
HG00138,HG00138,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,1.0,1.0,1.0,BGI,ILLUMINA,19238499156.0,4.93,BGI,ILLUMINA,8349864930.0,0.761232,0.0018899999999999998,0.0012,0.00198,,0.00157,,0.00053,,1.53,0.79,1.0,1.0,1.0,1.0,,,1.0,44.88,,,EUR,European
HG00139,HG00139,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,1.0,1.0,1.0,BGI,ILLUMINA,38002622616.0,12.11,BGI,ILLUMINA,10784601000.0,0.78049,0.00247,0.0018,0.00251,,0.00086,0.00016,0.00091,,1.5,0.79,1.0,1.0,1.0,1.0,,,1.0,89.06,,,EUR,European
HG00140,HG00140,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,1.0,1.0,1.0,BGI,ILLUMINA,35411219430.0,11.21,BGI,ILLUMINA,8812449990.0,0.7689199999999999,0.00498,0.00355,0.0049299999999999995,,0.00542,0.00266,0.00555,,1.7,0.82,1.0,1.0,1.0,1.0,,,1.0,395.82,,,EUR,European
HG00141,HG00141,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,42580259308.0,13.82,BCM,ILLUMINA,6920679782.0,0.925458,0.01456,0.0117,0.01445,,0.0023,0.00107,0.0023,,0.92,1.15,1.0,1.0,1.0,1.0,,,1.0,92.33,,,EUR,European
HG00142,HG00142,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,14886615888.0,4.17,BCM,ILLUMINA,8623157093.0,0.9124260000000001,0.02585,0.023790000000000002,0.026000000000000002,,0.00281,1e-05,0.0015300000000000001,,0.9,1.07,1.0,1.0,1.0,1.0,,,1.0,88.54,,,EUR,European
HG00143,HG00143,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,25151093360.0,8.36,BCM,ILLUMINA,8003003256.0,0.9026860000000001,0.01266,0.009770000000000001,0.012629999999999999,,0.00101,,0.00093,,0.88,1.09,1.0,1.0,1.0,1.0,,,1.0,86.93,,,EUR,European
HG00144,GBR001,GBR,British in England and Scotland,female,mother,HG00155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,European
HG00145,HG00145,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,,,ILLUMINA,BI,,,,,BI,ILLUMINA,21159594839.0,6.79,BI,ILLUMINA,17625994632.0,0.891941,,0.00021,0.00035,,9e-05,,0.00016,,0.87,0.81,1.0,1.0,1.0,1.0,,,1.0,559.29,,,EUR,European
HG00146,GBR002,GBR,British in England and Scotland,female,child,,,HG00147,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,,,1.0,,,1.0,BI,ILLUMINA,18485403164.0,5.16,BI,ILLUMINA,10275589880.0,0.899552,0.00371,0.00286,0.00366,,0.004070000000000001,,0.0039700000000000004,,0.82,0.74,1.0,1.0,1.0,1.0,,,1.0,75.71,,,EUR,European
HG00147,GBR002a,GBR,British in England and Scotland,female,child,,,HG00146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,European
HG00148,HG00148,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,30964741596.0,10.19,BCM,ILLUMINA,7874074029.0,0.886127,0.01073,0.00792,0.01094,,0.00081,1e-05,0.00063,,0.98,1.06,1.0,1.0,1.0,1.0,,,1.0,41.39,,,EUR,European
HG00149,HG00149,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,25868009932.0,7.93,BCM,ILLUMINA,6025676564.0,0.903752,0.01087,0.00848,0.01077,,0.0020800000000000003,2.9999999999999997e-05,0.0021100000000000003,,0.88,1.09,1.0,1.0,1.0,1.0,,,1.0,161.56,,,EUR,European
HG00150,HG00150,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,,,1.0,SC,ILLUMINA,13262935140.0,4.12,BCM,ILLUMINA,6752903329.0,0.921881,0.01277,0.00965,0.01281,,1e-05,1e-05,0.00075,,1.06,1.19,1.0,1.0,1.0,1.0,,,1.0,47.89,,,EUR,European
HG00151,HG00151,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,13891068648.0,4.24,BCM,ILLUMINA,5627320141.0,0.916085,0.0132,0.01125,0.01324,,0.0016600000000000002,,0.0017800000000000001,,0.89,1.05,1.0,1.0,1.0,1.0,,,1.0,90.38,,,EUR,European
HG00152,HG00152,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,13962456216.0,,BCM,ILLUMINA,6225420931.0,,0.0119,0.009059999999999999,0.01183,,0.00016999999999999999,,0.0001,,0.95,6.26,,,,1.0,,,1.0,,,,EUR,European
HG00153,GBR003,GBR,British in England and Scotland,female,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,EUR,European
HG00154,HG00154,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,15987859852.0,4.75,BGI,ILLUMINA,11000488860.0,0.771949,0.00119,0.00065,0.00121,,7e-05,,7e-05,,0.9,0.79,1.0,1.0,1.0,1.0,,,1.0,60.36,,,EUR,European
HG00155,GBR001,GBR,British in England and Scotland,male,Child,HG00144,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BI,,,1.0,1.0,1.0,1.0,BI,ILLUMINA,19037523404.0,5.64,BI,ILLUMINA,11647672220.0,0.903943,0.00421,0.00314,0.00413,,0.009859999999999999,2.9999999999999997e-05,0.01008,,0.81,0.76,1.0,1.0,1.0,1.0,,,1.0,332.05,,,EUR,European
HG00156,HG00156,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,1.0,1.0,1.0,SC,ILLUMINA,27585018364.0,,BCM,ILLUMINA,6240413573.0,,0.012190000000000001,0.00886,0.01225,,0.0007099999999999999,,0.00027,,1.03,6.53,,,,1.0,,,1.0,,,,EUR,European
HG00157,HG00157,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,,,ILLUMINA,BI,,,,,BI,ILLUMINA,17944730120.0,5.16,BI,ILLUMINA,11993401464.0,0.862848,0.00011999999999999999,7e-05,1e-05,,0.023880000000000002,0.00057,0.02314,,0.84,0.86,1.0,1.0,1.0,1.0,,,1.0,139.67,,,EUR,European
